PriceUpdateDate,ItemCode,ItemType,ItemName,ManufactureName,ManufactureCountry,ManufactureItemDescription,UnitQty,Quantity,UnitMeasure,BisWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,itemStatus,LastUpdateDate,LastUpdateTime
2023/08/21 12:15,7290000334745,1,"אמריקן ציפס 1.5  ק""ג(תפוגן)",קבוצת אוסם סחר-שות.מוגבלת,,,"י""ח",1.50,"ק""ג",0,1,27.90,18.60,0,1,,
2023/06/20 16:33,7290000339566,1,בדין ורוד 4 ליטר,"יוניליוור ישראל שיווק בע""מ",,,"י""ח",4,ליטר,0,1,22.90,5.73,1,1,,
2021/08/10 02:56,7290000341071,1,בייבי בדין 2 ליטר,"יוניליוור ישראל שיווק בע""מ",,,"י""ח",2,ליטר,0,1,14.90,7.45,0,1,,
2023/06/20 16:33,7290000342832,1,בדין צהוב 4 ל,"יוניליוור ישראל שיווק בע""מ",,,"י""ח",4,ליטר,0,1,22.90,5.73,1,1,,
2023/06/20 16:33,7290000342856,1,בדין כחול 4 ליטר,"יוניליוור ישראל שיווק בע""מ",,,"י""ח",4,ליטר,0,1,22.90,5.73,1,1,,
2021/08/09 03:04,7290000345215,1,תה ויסוצקי כחול} {100,"תה ויסוצקי  (ישראל)בע""מ",,,"י""ח",100,"י""ח",0,1,15.90,0.16,0,1,,
2023/03/15 10:26,7290000345260,1,תה בריבוע 1.5/25,"תה ויסוצקי  (ישראל)בע""מ",,,"י""ח",0.3750,ל 100 גרם,0,1,6.90,18.40,0,1,,
2013/12/23 09:51,7290000345291,1,תה ארל גריי 1.5/25,"תה ויסוצקי  (ישראל)בע""מ",,,"י""ח",0.3750,ל 100 גרם,0,1,15.90,42.40,0,1,,
2023/07/27 12:14,7290000345307,1,תה ארל גריי 50 שקיות,"תה ויסוצקי  (ישראל)בע""מ",,,"י""ח",0.75,ל 100 גרם,0,1,22.90,30.53,0,1,,
2023/08/22 10:59,7290000346120,1,חליטת קינמון גן קסום,"תה ויסוצקי  (ישראל)בע""מ",,,"י""ח",0.6250,ל 100 גרם,0,1,16.90,27.04,1,1,,
2023/08/22 10:58,7290000346137,1,חליטת הילולי פירות,"תה ויסוצקי  (ישראל)בע""מ",,,"י""ח",0.6250,ל 100 גרם,0,1,16.90,27.04,1,1,,
2023/08/22 10:58,7290000346168,1,חליטת שומר גן קסום,"תה ויסוצקי  (ישראל)בע""מ",,,"י""ח",0.3750,ל 100 גרם,0,1,16.90,45.07,1,1,,
2023/08/22 10:58,7290000346199,1,חליטת פירות יער  גן קסום 25 שק`,"תה ויסוצקי  (ישראל)בע""מ",,,"י""ח",0.6750,ל 100 גרם,0,1,16.90,25.04,1,1,,
2023/08/22 10:58,7290000346205,1,חליטת  קמומיל גן קסום 25יח,"תה ויסוצקי  (ישראל)בע""מ",,,"י""ח",0.3750,ל 100 גרם,0,1,16.90,45.07,1,1,,
2023/08/22 10:58,7290000346212,1,תה מנטה 25 ויסוצקי,"תה ויסוצקי  (ישראל)בע""מ",,,"י""ח",0.50,ל 100 גרם,0,1,16.90,33.80,1,1,,
